Date,Product,Region,Sales,Quantity,Profit
2023-01-02,Laptop,North,1957.90,2,361.90
2023-01-05,Monitor,South,1879.30,6,458.12
2023-01-09,Keyboard,East,429.21,6,116.72
2023-01-12,Mouse,West,190.17,4,50.08
2023-01-16,Headphones,North,737.90,5,153.97
2023-01-19,Laptop,South,5215.32,6,989.87
2023-01-23,Monitor,East,2320.36,8,524.17
2023-01-27,Headphones,West,477.39,3,75.19
2023-02-02,Laptop,South,4709.47,5,494.99
2023-02-05,Monitor,East,1684.82,6,346.62
2023-02-09,Keyboard,West,383.34,5,124.75
2023-02-12,Mouse,North,141.22,3,59.41
2023-02-16,Headphones,South,355.65,3,84.61
2023-02-19,Laptop,East,5673.16,6,577.05
2023-02-23,Monitor,West,1324.81,4,269.86
2023-02-27,Headphones,North,521.91,4,93.15
2023-03-02,Laptop,East,3823.38,4,634.16
2023-03-05,Monitor,West,369.83,1,72.99
2023-03-09,Keyboard,North,404.43,5,101.34
2023-03-12,Mouse,South,313.15,7,97.68
2023-03-16,Headphones,East,899.42,7,247.54
2023-03-19,Laptop,West,16158.49,4,2208.39
2023-03-23,Monitor,North,1204.29,4,285.74
2023-03-27,Headphones,South,639.88,5,153.07
2023-04-02,Laptop,West,3280.89,3,470.39
2023-04-05,Monitor,North,1381.03,4,209.75
2023-04-09,Keyboard,South,186.50,3,43.22
2023-04-12,Mouse,East,82.88,2,27.56
2023-04-16,Headphones,West,647.74,4,187.85
2023-04-19,Laptop,North,4270.40,4,604.97
2023-04-23,Monitor,South,1634.34,6,255.94
2023-04-27,Headphones,East,1001.62,7,265.95
2023-05-02,Laptop,North,3952.18,4,641.39
2023-05-05,Monitor,South,2290.63,7,310.93
2023-05-09,Keyboard,East,,8,188.43
2023-05-12,Mouse,West,47.39,1,15.22
2023-05-16,Headphones,North,464.32,3,97.19
2023-05-19,Laptop,South,1843.43,2,157.01
2023-05-23,Monitor,East,1587.58,5,157.93
2023-05-27,Headphones,West,738.58,5,176.86
2023-06-02,Laptop,South,7645.58,8,1141.59
2023-06-05,Monitor,East,2441.83,7,488.76
2023-06-09,Keyboard,West,442.72,6,149.13
2023-06-12,Mouse,North,275.46,6,83.84
2023-06-16,Headphones,South,653.46,5,138.64
2023-06-19,Laptop,East,4344.14,5,641.03
2023-06-23,Monitor,West,1919.99,5,569.68
2023-06-27,Headphones,North,710.04,5,198.95
2023-07-02,Laptop,East,5840.90,6,884.67
2023-07-05,Monitor,West,1390.26,4,295.77
2023-07-09,Keyboard,North,746.57,10,247.79
2023-07-12,Mouse,South,235.02,6,80.28
2023-07-16,Headphones,East,1023.97,7,289.50
2023-07-19,Laptop,West,3791.60,4,777.90
2023-07-23,Monitor,North,1349.95,4,243.80
2023-07-27,Headphones,South,378.66,3,84.79
2023-08-02,Laptop,West,4619.55,4,1041.05
2023-08-05,Monitor,North,2499.93,7,422.01
2023-08-09,Keyboard,South,393.45,6,84.03
2023-08-12,Mouse,East,298.08,7,109.74
2023-08-16,Headphones,West,646.59,4,119.40
2023-08-19,Laptop,North,5318.17,5,1113.53
2023-08-23,Monitor,South,1837.98,6,382.17
2023-08-27,Headphones,East,600.76,4,158.65
2023-09-02,Laptop,North,6996.91,7,511.73
2023-09-05,Monitor,South,1652.07,6,337.57
2023-09-09,Keyboard,East,512.81,7,169.22
2023-09-12,Mouse,West,148.13,3,48.93
2023-09-16,Headphones,North,980.45,6,250.70
2023-09-19,Laptop,South,4909.21,6,486.99
2023-09-23,Monitor,East,2342.47,7,534.29
2023-09-27,Headphones,West,625.52,4,153.47
2023-10-02,Laptop,South,2517.64,3,470.18
2023-10-05,Monitor,East,2510.46,7,726.20
2023-10-09,Keyboard,West,390.45,5,115.55
2023-10-12,Mouse,North,158.95,3,56.79
2023-10-16,Headphones,South,937.71,7,244.54
2023-10-19,Laptop,East,4682.45,5,
2023-10-23,Monitor,West,2342.88,6,722.68
2023-10-27,Headphones,North,563.09,4,134.27
2023-11-02,Laptop,East,5164.81,5,712.27
2023-11-05,Monitor,West,1176.92,3,272.22
2023-11-09,Keyboard,North,330.21,4,102.71
2023-11-12,Mouse,South,355.98,8,102.33
2023-11-16,Headphones,East,1045.02,7,293.46
2023-11-19,Laptop,West,6786.37,6,578.38
2023-11-23,Monitor,North,1938.19,6,311.17
2023-11-27,Headphones,South,541.92,4,138.80
2023-12-02,Laptop,West,4930.93,5,662.52
2023-12-05,Monitor,North,1282.42,4,354.10
2023-12-09,Keyboard,South,285.29,4,69.03
2023-12-12,Mouse,East,169.51,4,71.58
2023-12-16,Headphones,West,954.91,6,211.47
2023-12-19,Laptop,North,4290.10,4,979.07
2023-12-23,Monitor,South,2257.22,8,413.62
2023-12-27,Headphones,East,440.64,3,114.56
2024-01-02,Laptop,North,19136.35,4,2560.81
2024-01-05,Monitor,South,2723.68,8,565.83
2024-01-09,Keyboard,East,443.01,6,134.31
2024-01-12,Mouse,West,237.69,5,58.02
2024-01-16,Headphones,North,1096.82,7,258.26
2024-01-19,Laptop,South,7961.40,9,977.23
2024-01-23,Monitor,East,2868.74,8,610.19
2024-01-27,Headphones,West,605.16,4,114.32
2024-02-02,Laptop,South,4942.32,5,955.48
2024-02-05,Monitor,East,1563.44,5,206.13
2024-02-09,Keyboard,West,468.32,5,142.39
2024-02-12,Mouse,North,46.98,1,13.56
2024-02-16,Headphones,South,1219.14,9,261.80
2024-02-19,Laptop,East,5006.51,5,710.10
2024-02-23,Monitor,West,2083.12,6,515.97
2024-02-27,Headphones,North,765.19,5,171.31
2024-03-02,Laptop,East,2724.67,3,444.74
2024-03-05,Monitor,West,1900.91,5,448.66
2024-03-09,Keyboard,North,264.38,3,83.07
2024-03-12,Mouse,South,341.59,7,101.85
2024-03-16,Headphones,East,1302.21,9,263.52
2024-03-19,Laptop,West,5516.70,5,986.76
2024-03-23,Monitor,North,1922.36,5,183.76
2024-03-27,Headphones,South,775.28,,156.69
2024-04-02,Laptop,West,4788.18,4,959.44
2024-04-05,Monitor,North,2258.10,6,445.71
2024-04-09,Keyboard,South,228.46,3,65.33
2024-04-12,Mouse,East,261.82,5,73.77
2024-04-16,Headphones,West,811.53,5,230.33
2024-04-19,Laptop,North,7619.61,8,983.53
2024-04-23,Monitor,South,1184.39,4,283.89
2024-04-27,Headphones,East,829.98,6,193.39
2024-05-02,Laptop,North,2901.49,3,483.54
2024-05-05,Monitor,South,1325.44,4,155.27
2024-05-09,Keyboard,East,242.74,3,80.44
2024-05-12,Mouse,West,165.00,3,56.04
2024-05-16,Headphones,North,1003.61,7,300.43
2024-05-19,Laptop,South,5284.23,6,657.35
2024-05-23,Monitor,East,1449.99,4,195.97
2024-05-27,Headphones,West,1064.80,7,223.77
2024-06-02,Laptop,South,6042.58,7,1097.25
2024-06-05,Monitor,East,1973.39,6,303.18
2024-06-09,Keyboard,West,540.07,6,178.94
2024-06-12,Mouse,North,239.99,5,92.40
2024-06-16,Headphones,South,772.91,6,186.49
2024-06-19,Laptop,East,4439.94,4,287.36
